Area_sqft,Bedrooms,Bathrooms,Age_years,Garage_size,Has_Garden,Neighborhood,Distance_to_Center,Condition,Price_USD
2248.3570765056165,4,3,32,1,0,Modern_District,17.750779338476878,Good,575232.97
1930.8678494144076,1,3,49,2,0,Modern_District,17.556304558812197,Renovated,508851.33
2323.844269050346,3,1,37,1,1,Modern_District,10.64037407305659,Old,397415.25
2761.514928204013,5,3,26,1,1,Downtown,10.15046223923093,Renovated,1033141.33
1882.923312638332,3,3,33,0,1,Modern_District,4.092084949161339,Renovated,592506.38
1882.9315215254096,3,2,14,2,1,Rural,11.637151298741783,New,346154.51
2789.6064077536957,1,1,31,2,0,Downtown,3.885345397315975,Good,804663.15
2383.717364576454,1,1,20,2,1,Modern_District,23.231282396649497,Old,387140.91
1765.262807032524,1,1,45,1,0,Rural,29.02195463469739,New,210612.41
2271.2800217929826,2,3,4,2,0,Rural,29.1321592433345,Good,289703.6
1768.291153593769,4,1,5,2,1,Rural,26.08706188188642,Old,159312.93
1767.1351232148716,2,3,37,0,1,Suburbs,18.422972330848953,Old,241742.73
2120.981135783017,4,3,21,0,0,Downtown,21.32510522007252,Old,483052.03
1043.359877671101,4,2,17,0,0,Rural,9.270968277732008,Good,163494.04
1137.5410837434836,3,2,13,1,1,Suburbs,19.292342185006,Old,180984.99
1718.8562353795137,3,2,9,2,0,Modern_District,14.213836933756447,Old,341954.68
1493.5844398327881,4,2,45,0,1,Rural,14.978502853531042,New,246105.06
2157.123666297637,4,2,12,0,1,Suburbs,22.97552025087958,Renovated,507355.24
1545.9879622393946,2,3,30,0,0,Rural,9.175632312320298,Good,220171.04
1293.8481493323543,2,3,29,2,0,Downtown,10.223148739141077,Renovated,501617.48
2732.824384460777,3,1,2,2,1,Downtown,27.814611942730462,New,1089426.06
1887.1118497567322,1,3,29,2,0,Modern_District,2.630504550678195,Renovated,564743.65
2033.764102343962,4,3,5,1,1,Rural,15.083394653986872,Old,212856.88
1287.6259068932716,2,2,28,1,1,Suburbs,27.47122321182799,Old,176971.25
1727.8086377374086,3,3,7,0,1,Modern_District,18.700527226726553,Good,491080.52
2055.461294854933,2,2,43,2,0,Rural,16.845805152151833,Good,248818.81
1424.5032112888484,4,1,44,0,1,Modern_District,8.242581197651301,Good,373820.88
2187.849009172836,4,1,42,2,1,Suburbs,10.954989182869,New,553382.53
1699.6806550405975,5,3,43,2,1,Modern_District,25.709404058336094,Good,450671.29
1854.1531251033616,1,1,32,2,1,Modern_District,17.217325821285286,New,557252.94
1699.1466938853016,5,3,16,1,1,Modern_District,15.927523618946616,Old,358739.46
2926.139092254469,3,1,47,1,1,Rural,3.887811692660839,Renovated,422590.47
1993.2513876310331,2,2,10,2,1,Suburbs,1.4648165371985704,Old,307277.3
1471.1445355220499,3,2,12,0,1,Downtown,28.946870471924424,Old,341175.76
2411.2724560515944,4,2,49,2,1,Rural,11.932598851318408,Old,220180.57
1389.5781750144888,5,2,10,2,1,Downtown,18.493178800885627,Good,523851.45
2104.431797502378,5,3,30,0,1,Downtown,3.3117371224312646,Good,719839.35
1020.1649380601123,5,1,27,2,0,Rural,20.81031428596835,Good,148560.81
1335.9069755507849,3,3,43,0,1,Rural,28.044434552472868,Renovated,166559.33
2098.4306179345617,4,2,5,1,1,Suburbs,17.69429233692517,Good,464880.31
2369.2332899977055,2,3,40,1,1,Suburbs,4.657344348886906,New,618438.25
2085.6841405949854,2,1,15,0,0,Modern_District,17.869924296730826,Old,365493.45
1942.1758588058797,3,3,3,1,1,Downtown,23.22406918003492,Renovated,759007.43
1849.4481522053557,5,1,34,1,0,Suburbs,12.786079560646542,Renovated,449469.3
1260.7390048162863,1,3,47,0,1,Modern_District,26.515294690302568,Renovated,310836.46
1640.0778958026458,3,1,25,1,1,Suburbs,19.81180564736357,Renovated,378047.8
1769.6806145201062,3,1,11,2,0,Rural,27.07821863038687,Renovated,248017.09
2528.561113109458,4,2,10,2,1,Suburbs,19.081654026172778,New,685335.56
2171.8091447842307,2,1,36,0,0,Downtown,4.8073511881399025,Old,439954.43
1118.479922318633,3,2,24,1,0,Suburbs,9.981059622050484,Renovated,298787.6
2162.0419846973973,3,2,17,2,1,Downtown,6.852053499321251,Old,490211.55
1807.4588597918419,5,2,18,2,1,Rural,27.355968433789005,Good,235698.76
1661.5389998470207,5,3,22,1,1,Downtown,23.051601951337,Renovated,667981.14
2305.8381444204338,1,3,37,1,1,Suburbs,20.615552698390175,Renovated,475912.35
2515.4997612479756,4,3,17,2,0,Modern_District,9.72802326931703,Old,470978.63
2465.6400595580994,1,3,25,2,0,Rural,6.337298389456192,Renovated,371617.15
1580.3912383886807,5,1,5,0,1,Suburbs,22.937081551678443,Renovated,417451.85
1845.3938120743928,2,1,3,0,0,Rural,14.75058043049331,Renovated,290630.34
2165.631715701782,5,3,43,2,0,Rural,7.547897012368245,New,389684.7
2487.7725635611796,4,1,28,0,1,Suburbs,18.88203736679298,New,639356.52
1760.412881077355,5,1,33,2,0,Suburbs,2.169681712015107,Renovated,450515.15
1907.1705116680914,4,2,16,2,0,Modern_District,10.458937369719353,New,702226.41
1446.8325129969858,4,2,42,0,1,Rural,14.588152843142904,Good,187109.66
1401.8966879596646,4,2,42,0,0,Rural,5.290791689172769,Renovated,228101.04
2406.262911197099,4,2,15,1,1,Suburbs,29.554979850134348,Good,476592.03
2678.1200142854113,4,1,1,1,0,Downtown,7.063823573098813,Old,621913.33
1963.994939209833,2,3,33,1,1,Suburbs,4.7802407712547,Good,411043.73
2501.766448946012,1,1,7,2,0,Rural,6.902511342719995,Old,238701.38
2180.818012523817,3,1,12,0,0,Suburbs,23.302772861632004,Renovated,501205.88
1677.4401226974378,1,1,41,2,1,Modern_District,13.33966411888344,Old,257205.44
2180.697802754207,4,2,7,0,1,Downtown,17.397062252823602,Old,521344.07
2769.0182832329847,2,2,29,2,1,Suburbs,1.6092655526044615,Good,558520.6
1982.0869804450242,5,2,31,1,1,Modern_District,1.9985079486261221,Good,562745.91
2782.3218279070034,2,3,35,1,0,Rural,13.928940944983468,Good,345736.55
690.1274479551278,4,1,46,1,0,Suburbs,24.683002052847083,Renovated,150715.37
2410.9512521876118,2,3,29,2,0,Rural,26.671927482519393,Renovated,320364.3
2043.5235341190855,2,2,0,0,1,Modern_District,3.5144904602735663,Good,584812.96
